transaction_type,amount,currency,description,account_id,category_id,transferred_at,user_id
EXPENSE,16.27,UAH,Medicine,1,24,2025-05-19 11:46:25,1
EXPENSE,344.59,UAH,Medicine,1,22,2025-05-14 02:25:22,1
EXPENSE,436.05,EUR,Rent,1,6,2025-05-29 14:53:57,1
EXPENSE,206.64,EUR,Gym,1,18,2025-05-08 18:12:01,1
EXPENSE,171.01,EUR,Coffee,1,24,2025-05-21 13:33:45,1
EXPENSE,135.58,UAH,Medicine,1,16,2025-05-26 04:35:40,1
EXPENSE,174.6,EUR,Rent,1,19,2025-05-31 03:30:42,1
EXPENSE,332.48,EUR,Medicine,1,9,2025-05-11 03:35:02,1
EXPENSE,128.16,EUR,Gym,1,4,2025-05-03 06:07:09,1
EXPENSE,432.09,USD,Subscription,1,9,2025-05-02 02:55:17,1
EXPENSE,241.24,USD,Gym,1,21,2025-05-14 20:02:37,1
EXPENSE,11.43,EUR,Gym,1,16,2025-05-25 08:45:21,1
EXPENSE,246.41,EUR,Groceries,1,5,2025-05-21 19:22:12,1
EXPENSE,371.27,UAH,Books,1,21,2025-05-28 12:32:04,1
EXPENSE,16.25,USD,Subscription,1,4,2025-05-08 21:59:12,1
EXPENSE,375.17,UAH,Taxi,1,8,2025-05-22 12:55:41,1
EXPENSE,325.02,EUR,Taxi,1,5,2025-05-06 11:04:08,1
EXPENSE,57.02,UAH,Books,1,4,2025-05-29 18:59:57,1
TRANSFER,479.96,UAH,Fuel,1,14,2025-05-16 12:13:27,1
INCOME,216.06,UAH,Rent,1,26,2025-05-29 13:51:04,1
EXPENSE,414.56,EUR,Groceries,1,1,2025-05-17 08:50:11,1
TRANSFER,195.67,USD,Medicine,1,18,2025-05-30 19:00:34,1
TRANSFER,349.88,EUR,Taxi,1,28,2025-05-17 06:26:14,1
EXPENSE,238.09,USD,Coffee,1,9,2025-05-12 13:40:19,1
INCOME,44.44,EUR,Fuel,1,27,2025-05-24 04:36:24,1
INCOME,436.63,EUR,Subscription,1,14,2025-05-02 17:19:22,1
INCOME,256.28,UAH,Groceries,1,15,2025-05-01 02:21:43,1
INCOME,458.85,UAH,Taxi,1,15,2025-05-22 13:12:32,1
INCOME,273.27,USD,Gym,1,4,2025-05-12 06:31:43,1
EXPENSE,462.78,UAH,Coffee,1,19,2025-05-09 12:48:22,1
TRANSFER,124.51,EUR,Books,1,15,2025-05-22 17:46:41,1
INCOME,233.65,EUR,Taxi,1,18,2025-05-04 06:24:49,1
INCOME,470.05,UAH,Books,1,18,2025-05-29 16:18:46,1
EXPENSE,235.19,EUR,Fuel,1,3,2025-05-26 04:45:40,1
EXPENSE,168.42,USD,Rent,1,11,2025-05-15 05:16:33,1
EXPENSE,29.47,UAH,Coffee,1,14,2025-05-03 18:33:26,1
EXPENSE,66.84,USD,Books,1,21,2025-05-25 21:38:37,1
TRANSFER,11.31,USD,Rent,1,4,2025-05-18 03:16:08,1
INCOME,306.24,EUR,Medicine,1,3,2025-05-17 01:36:29,1
EXPENSE,350.72,USD,Medicine,1,21,2025-05-07 07:47:35,1
TRANSFER,479.26,USD,Medicine,1,27,2025-05-29 10:00:47,1
INCOME,222.34,EUR,Fuel,1,12,2025-05-05 16:49:11,1
EXPENSE,175.02,UAH,Books,1,6,2025-05-26 02:21:24,1
EXPENSE,217.65,USD,Fuel,1,20,2025-05-27 02:17:55,1
EXPENSE,387.01,EUR,Groceries,1,2,2025-05-13 20:48:53,1
EXPENSE,90.66,USD,Coffee,1,17,2025-05-08 15:55:13,1
EXPENSE,496.78,USD,Groceries,1,19,2025-05-29 12:17:50,1
EXPENSE,423.76,USD,Groceries,1,11,2025-05-20 13:42:42,1
EXPENSE,352.03,USD,Groceries,1,12,2025-05-23 09:43:52,1
EXPENSE,54.06,EUR,Rent,1,11,2025-05-21 07:02:36,1
